JOBID=28562
Size, Timepoint Index, Time
128K, End, 49, 8.2257e-05
128K, End, 50, 8.3235e-05
128K, End, 51, 8.1852e-05
128K, End, 52, 8.0256e-05
128K, End, 53, 8.1026e-05
128K, End, 54, 8.2543e-05
128K, End, 55, 8.1917e-05
128K, End, 56, 8.1784e-05
128K, End, 57, 8.3217e-05
128K, End, 58, 8.2285e-05
128K, End, 59, 8.2769e-05
128K, End, 60, 8.0316e-05
128K, End, 61, 8.1782e-05
128K, End, 62, 8.1637e-05
128K, End, 63, 8.1918e-05
128K, End, 64, 8.1934e-05
128K, End, 65, 8.3137e-05
128K, End, 66, 8.2046e-05
128K, End, 67, 8.2593e-05
128K, End, 68, 8.1495e-05
128K, End, 69, 8.182e-05
128K, End, 70, 8.2731e-05
128K, End, 71, 8.1502e-05
128K, End, 72, 8.1805e-05
128K, End, 73, 8.1991e-05
128K, End, 74, 8.1711e-05
128K, End, 75, 7.9894e-05
128K, End, 76, 8.2676e-05
128K, End, 77, 8.1719e-05
128K, End, 78, 8.2611e-05
128K, End, 79, 8.0767e-05
128K, End, 80, 8.1264e-05
128K, End, 81, 8.2094e-05
128K, End, 82, 8.1798e-05
128K, End, 83, 8.2477e-05
128K, End, 84, 8.193e-05
128K, End, 85, 8.0814e-05
128K, End, 86, 8.1858e-05
128K, End, 87, 8.1227e-05
128K, End, 88, 8.233e-05
128K, End, 89, 8.2021e-05
128K, End, 90, 8.2462e-05
128K, End, 91, 8.2587e-05
128K, End, 92, 8.2857e-05
128K, End, 93, 8.1723e-05
128K, End, 94, 8.4685e-05
128K, End, 95, 8.2207e-05
128K, End, 96, 8.2182e-05
128K, End, 97, 8.1258e-05
128K, End, 98, 8.115e-05
128K, End, 99, 8.2398e-05
128K, End, 100, 8.2246e-05
256K, End, 1, 0.000176285
256K, End, 2, 0.000174641
256K, End, 3, 0.000183944
256K, End, 4, 0.000175706
256K, End, 5, 0.000175952
256K, End, 6, 0.000175643
256K, End, 7, 0.000177137
256K, End, 8, 0.000175719
256K, End, 9, 0.000181417
256K, End, 10, 0.000174302
256K, End, 11, 0.000178322
256K, End, 12, 0.000177562
256K, End, 13, 0.00017581
256K, End, 14, 0.000182185
256K, End, 15, 0.000174398
256K, End, 16, 0.000175791
256K, End, 17, 0.000174624
256K, End, 18, 0.000174877
256K, End, 19, 0.00017568
256K, End, 20, 0.000180869
256K, End, 21, 0.000174754
256K, End, 22, 0.000175495
256K, End, 23, 0.000175879
