JOBID=28568
Size, Timepoint Index, Time
32K, End, 82, 2.1977e-05
32K, End, 83, 2.2414e-05
32K, End, 84, 2.1749e-05
32K, End, 85, 2.2032e-05
32K, End, 86, 2.2189e-05
32K, End, 87, 2.2035e-05
32K, End, 88, 2.2268e-05
32K, End, 89, 2.2974e-05
32K, End, 90, 2.1884e-05
32K, End, 91, 2.165e-05
32K, End, 92, 2.4162e-05
32K, End, 93, 2.233e-05
32K, End, 94, 2.3066e-05
32K, End, 95, 2.2628e-05
32K, End, 96, 2.2035e-05
32K, End, 97, 2.2453e-05
32K, End, 98, 2.1517e-05
32K, End, 99, 2.2141e-05
32K, End, 100, 2.1259e-05
64K, End, 1, 5.7689e-05
64K, End, 2, 5.7989e-05
64K, End, 3, 5.77e-05
64K, End, 4, 6.4706e-05
64K, End, 5, 5.648e-05
64K, End, 6, 5.8625e-05
64K, End, 7, 6.0019e-05
64K, End, 8, 5.8191e-05
64K, End, 9, 5.7756e-05
64K, End, 10, 5.8281e-05
64K, End, 11, 5.6551e-05
64K, End, 12, 5.7528e-05
64K, End, 13, 5.7547e-05
64K, End, 14, 5.8345e-05
64K, End, 15, 5.54e-05
64K, End, 16, 5.544e-05
64K, End, 17, 5.5261e-05
64K, End, 18, 5.5587e-05
64K, End, 19, 5.4295e-05
64K, End, 20, 5.3583e-05
64K, End, 21, 5.2426e-05
64K, End, 22, 5.2651e-05
64K, End, 23, 5.2829e-05
64K, End, 24, 5.3113e-05
64K, End, 25, 5.4379e-05
64K, End, 26, 5.4578e-05
64K, End, 27, 5.3117e-05
64K, End, 28, 5.3786e-05
64K, End, 29, 5.2677e-05
64K, End, 30, 5.2478e-05
64K, End, 31, 5.4698e-05
64K, End, 32, 5.3923e-05
64K, End, 33, 5.308e-05
64K, End, 34, 5.4574e-05
64K, End, 35, 5.3811e-05
64K, End, 36, 5.4351e-05
64K, End, 37, 5.3683e-05
64K, End, 38, 5.2599e-05
64K, End, 39, 5.318e-05
64K, End, 40, 5.3393e-05
64K, End, 41, 5.2347e-05
64K, End, 42, 5.4259e-05
64K, End, 43, 5.0257e-05
64K, End, 44, 5.1055e-05
64K, End, 45, 4.9955e-05
64K, End, 46, 5.1495e-05
64K, End, 47, 5.1485e-05
