JOBID=30313
Nodes=1 Procs=2 TasksPerNode=2 ThreadsPerTask=1 NREPS=1 /home/alvaro.pardo/dev-TFG-UPCXX/build/non-contiguous/upcxx_rput_non_contiguous --chunk-size 4 --in-stride 8 --out-inter-chunk-stride 8 --repetitions 200 -m root -q --warmup-repetitions 200
Rank, Total-size, Chunk-size, Chunks-per-rank, In-stride, Size-per-rank, Out-inter-chunk-stride, Out-inter-rank-stride, Timepoint, Index, Time
0, 32, 4, 4, 8, 16, 8, 36, End, 14, 2.611e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 15, 1.112e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 16, 1.203e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 17, 2.191e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 18, 2.259e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 19, 2.245e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 20, 1.649e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 21, 1.743e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 22, 2.907e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 23, 1.209e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 24, 1.182e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 25, 2.644e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 26, 1.668e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 27, 1.646e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 28, 2.505e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 29, 1.268e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 30, 2.348e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 31, 1.55e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 32, 1.161e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 33, 2.387e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 34, 2.41e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 35, 2.292e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 36, 2.302e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 37, 2.845e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 38, 1.702e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 39, 9.74e-07
0, 32, 4, 4, 8, 16, 8, 36, End, 40, 2.003e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 41, 2.939e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 42, 3.017e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 43, 1.27e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 44, 2.324e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 45, 2.24e-06
0, 32, 4, 4, 8, 16, 8, 36, End, 46, 2.412e-06
